Date,Open,High,Low,Close,Volume,MA5,MA20,RSI,MACD,Signal_Line,Sentiment_Score,Predicted_Next_Close
2022-01-03,134.07,136.29,133.63,136.04,4610665.0,136.04,136.04,50.0,0.0,0.0,0.89,138.02
2022-01-04,136.1,139.95,135.9,138.02,7300011.0,137.03,137.03,100.0,0.16,0.03,0.48,138.22
2022-01-05,138.31,142.2,137.88,138.22,8956910.0,137.43,137.43,100.0,0.3,0.09,0.61,135.34
2022-01-06,138.2,138.41,132.51,135.34,9908081.0,136.9,136.9,43.08,0.17,0.1,-0.28,134.83
2022-01-07,134.9,135.66,133.51,134.83,5238099.0,136.49,136.49,39.14,0.03,0.09,0.15,135.03
2022-01-10,134.47,136.2,133.38,135.03,5432807.0,136.29,136.25,41.25,-0.06,0.06,0.49,132.87
2022-01-11,130.52,133.25,127.97,132.87,11081210.0,135.26,135.76,30.01,-0.31,-0.02,0.33,133.59
2022-01-12,133.25,134.47,131.37,133.59,5352014.0,134.33,135.49,35.84,-0.44,-0.1,0.0,134.76
2022-01-13,133.9,136.05,133.56,134.76,4868349.0,134.22,135.41,43.48,-0.45,-0.17,0.08,134.21
2022-01-14,134.55,135.14,133.3,134.21,5310305.0,134.09,135.29,41.18,-0.49,-0.23,0.76,132.94
2022-01-18,132.95,133.89,131.78,132.94,5236258.0,133.67,135.08,36.68,-0.62,-0.31,0.0,131.58
2022-01-19,132.9,133.9,131.5,131.58,4099035.0,133.42,134.79,32.85,-0.82,-0.41,0.0,130.82
2022-01-20,131.26,132.88,130.57,130.82,5278244.0,132.86,134.48,31.03,-1.03,-0.54,0.0,129.35
2022-01-21,131.65,131.87,129.27,129.35,5906950.0,131.78,134.11,28.04,-1.3,-0.69,0.26,128.82
2022-01-24,127.99,129.15,124.19,128.82,13777648.0,130.7,133.76,27.09,-1.54,-0.86,0.0,136.1
2022-01-25,129.14,137.34,128.3,136.1,19715698.0,131.33,133.91,45.44,-1.13,-0.91,0.04,134.26
2022-01-26,136.47,137.07,133.13,134.26,8335992.0,131.87,133.93,41.28,-0.94,-0.92,0.0,132.52
2022-01-27,133.66,134.75,132.08,132.52,5499566.0,132.21,133.85,43.46,-0.92,-0.92,0.0,134.5
2022-01-28,133.19,134.53,131.79,134.5,5471497.0,133.24,133.88,49.28,-0.74,-0.88,0.0,133.57
2022-01-31,134.09,134.09,132.3,133.57,5859043.0,134.19,133.87,46.93,-0.66,-0.84,0.58,135.53
2022-02-01,133.76,135.96,132.5,135.53,6206448.0,134.08,133.84,55.65,-0.43,-0.76,0.17,137.25
2022-02-02,135.7,137.56,135.26,137.25,5357237.0,134.67,133.8,57.45,-0.12,-0.63,0.9,137.78
2022-02-03,137.0,138.76,135.83,137.78,6100777.0,135.73,133.78,56.31,0.18,-0.47,0.56,137.15
2022-02-04,137.86,138.82,136.22,137.15,4142045.0,136.26,133.87,56.12,0.35,-0.3,0.0,137.24
2022-02-07,137.45,137.82,136.27,137.24,3759046.0,136.99,133.99,59.42,0.5,-0.14,0.0,137.02
2022-02-08,137.23,137.52,135.78,137.02,4181825.0,137.29,134.09,62.55,0.58,0.0,0.6,137.79
2022-02-09,137.84,138.35,136.83,137.79,5393478.0,137.4,134.34,66.07,0.71,0.14,0.0,133.52
2022-02-10,135.47,136.56,133.17,133.52,5978640.0,136.54,134.34,58.51,0.46,0.21,0.66,132.69
2022-02-11,133.9,134.71,132.38,132.69,4176155.0,135.65,134.23,57.81,0.19,0.2,0.0,130.15
2022-02-14,132.59,132.65,129.07,130.15,5345289.0,134.23,134.03,35.16,-0.23,0.12,0.0,129.94
2022-02-15,130.64,131.68,129.61,129.94,4395714.0,132.82,133.88,38.27,-0.57,-0.02,0.38,129.18
2022-02-16,129.45,130.44,128.26,129.18,4875612.0,131.1,133.76,40.42,-0.89,-0.19,0.0,124.97
2022-02-17,128.05,128.5,124.85,124.97,6796997.0,129.39,133.47,25.78,-1.46,-0.45,0.0,124.35
2022-02-18,124.94,125.44,123.61,124.35,4609212.0,127.72,133.22,26.19,-1.95,-0.75,0.0,123.92
2022-02-22,124.2,125.0,122.68,123.92,5306688.0,126.47,132.97,17.44,-2.34,-1.07,0.34,122.07
2022-02-23,124.38,124.7,121.87,122.07,4086367.0,124.9,132.27,7.74,-2.77,-1.41,0.81,121.97
2022-02-24,120.0,122.1,118.81,121.97,6563202.0,123.46,131.66,4.91,-3.08,-1.74,0.0,124.18
2022-02-25,122.05,124.26,121.45,124.18,4460904.0,123.3,131.24,16.06,-3.11,-2.02,0.0,122.51
2022-02-28,122.21,123.39,121.04,122.51,6757332.0,122.93,130.64,14.4,-3.24,-2.26,0.56,121.35
2022-03-01,122.67,123.39,120.7,121.35,4873331.0,122.42,130.03,13.78,-3.39,-2.49,0.0,123.86
2022-03-02,122.59,124.64,121.8,123.86,4891435.0,122.77,129.44,20.2,-3.27,-2.64,0.0,125.93
2022-03-03,124.96,126.66,124.24,125.93,5206649.0,123.57,128.88,32.07,-2.97,-2.71,0.0,126.62
2022-03-04,124.4,127.35,124.21,126.62,4402911.0,124.05,128.32,35.57,-2.65,-2.7,0.0,126.07
2022-03-07,126.47,127.9,125.62,126.07,5047358.0,124.77,127.77,39.29,-2.41,-2.64,0.0,125.68
2022-03-08,126.62,128.34,124.82,125.68,4887565.0,125.63,127.19,38.92,-2.23,-2.56,-0.17,126.22
2022-03-09,127.41,128.1,125.91,126.22,4403499.0,126.1,126.65,42.21,-2.02,-2.45,0.0,124.35
2022-03-10,125.75,126.03,123.12,124.35,5326835.0,125.79,125.98,48.14,-1.98,-2.36,0.51,123.96
2022-03-11,125.0,126.77,123.91,123.96,4119630.0,125.26,125.5,48.81,-1.96,-2.28,0.0,123.94
2022-03-14,124.45,125.16,122.68,123.94,3289440.0,124.83,125.06,50.06,-1.92,-2.21,0.0,125.64
2022-03-15,124.0,125.94,123.22,125.64,4021228.0,124.82,124.84,61.25,-1.73,-2.11,0.0,127.04
2022-03-16,126.5,127.28,124.71,127.04,4292845.0,124.99,124.69,64.76,-1.45,-1.98,0.0,127.96
2022-03-17,127.1,128.29,126.53,127.96,3671903.0,125.71,124.63,61.9,-1.15,-1.81,0.31,128.76
2022-03-18,127.38,128.93,126.37,128.76,7400216.0,126.67,124.82,70.82,-0.83,-1.62,0.38,128.1
2022-03-21,129.0,129.74,127.4,128.1,3379393.0,127.5,125.01,73.26,-0.62,-1.42,0.3,129.06
2022-03-22,128.5,129.3,127.85,129.06,2649026.0,128.18,125.26,70.06,-0.38,-1.21,0.4,128.3
2022-03-23,129.08,129.32,128.25,128.3,2924535.0,128.44,125.58,60.17,-0.24,-1.02,0.0,129.25
2022-03-24,128.33,129.37,127.8,129.25,2971075.0,128.69,125.94,61.04,-0.06,-0.82,0.0,131.35
2022-03-25,129.5,131.4,129.31,131.35,3516923.0,129.21,126.3,69.61,0.26,-0.61,0.0,131.47
2022-03-28,130.82,131.5,129.6,131.47,2483492.0,129.89,126.75,71.95,0.51,-0.38,0.0,131.94
2022-03-29,132.04,132.84,130.43,131.94,5791032.0,130.46,127.28,71.8,0.74,-0.16,0.0,132.13
